date,device,clicks,impressions,ctr,position
2026-07-13,MOBILE,5,89,0.056179775280898875,9.112359550561798
2026-07-02,MOBILE,4,70,0.05714285714285714,8.914285714285715
2026-07-05,MOBILE,4,79,0.05063291139240506,7.949367088607595
2026-07-14,MOBILE,4,85,0.047058823529411764,8.376470588235295
2026-07-11,MOBILE,3,55,0.05454545454545454,9.727272727272727
2026-07-15,MOBILE,3,85,0.03529411764705882,10.129411764705882
2026-07-16,MOBILE,3,102,0.029411764705882353,9.627450980392156
2026-07-17,MOBILE,3,77,0.03896103896103896,8.246753246753247
2026-06-29,MOBILE,2,21,0.09523809523809523,8.857142857142858
2026-06-30,MOBILE,2,29,0.06896551724137931,10.413793103448276
2026-07-03,MOBILE,2,64,0.03125,10.046875
2026-07-04,MOBILE,2,53,0.03773584905660377,9.377358490566039
2026-07-06,MOBILE,2,55,0.03636363636363636,14
2026-06-28,MOBILE,1,18,0.05555555555555555,11.777777777777779
2026-06-30,DESKTOP,1,50,0.02,17.34
2026-07-07,DESKTOP,1,108,0.009259259259259259,41.907407407407405
2026-07-07,MOBILE,1,34,0.029411764705882353,8.882352941176471
2026-07-09,MOBILE,1,32,0.03125,10.71875
2026-07-11,DESKTOP,1,193,0.0051813471502590676,43.01036269430052
2026-07-12,MOBILE,1,63,0.015873015873015872,8.968253968253968
2026-07-13,DESKTOP,1,159,0.006289308176100629,43.710691823899374
2026-07-14,DESKTOP,1,216,0.004629629629629629,31.12037037037037
2026-07-16,DESKTOP,1,194,0.005154639175257732,37.355670103092784
2026-06-28,DESKTOP,0,24,0,15.791666666666666
2026-06-29,DESKTOP,0,37,0,17.37837837837838
2026-06-30,TABLET,0,2,0,7
2026-07-01,DESKTOP,0,100,0,18.32
2026-07-01,MOBILE,0,37,0,9.702702702702704
2026-07-02,DESKTOP,0,70,0,11.614285714285714
2026-07-03,DESKTOP,0,37,0,11.972972972972974
2026-07-03,TABLET,0,3,0,8.333333333333332
2026-07-04,DESKTOP,0,65,0,12.461538461538462
2026-07-05,DESKTOP,0,77,0,28.324675324675326
2026-07-05,TABLET,0,1,0,8
2026-07-06,DESKTOP,0,99,0,46.63636363636363
2026-07-08,DESKTOP,0,85,0,48.411764705882355
2026-07-08,MOBILE,0,41,0,12.365853658536585
2026-07-09,DESKTOP,0,127,0,50.84251968503937
2026-07-09,TABLET,0,1,0,7
2026-07-10,DESKTOP,0,145,0,45.16551724137931
2026-07-10,MOBILE,0,42,0,8.5
2026-07-10,TABLET,0,1,0,10
2026-07-11,TABLET,0,2,0,9
2026-07-12,DESKTOP,0,163,0,46.86503067484663
2026-07-14,TABLET,0,1,0,9
2026-07-15,DESKTOP,0,156,0,31.69871794871795
2026-07-15,TABLET,0,6,0,7.666666666666667
2026-07-16,TABLET,0,1,0,7
2026-07-17,DESKTOP,0,79,0,29.354430379746834
2026-07-17,TABLET,0,2,0,10
