date,page,clicks,impressions,ctr,position
2026-07-13,https://theinvisiblecharacter.live/,5,90,0.05555555555555555,14.533333333333333
2026-07-05,https://theinvisiblecharacter.live/,4,118,0.03389830508474576,9.296610169491526
2026-07-14,https://theinvisiblecharacter.live/,4,174,0.022988505747126436,16.091954022988507
2026-07-11,https://theinvisiblecharacter.live/,3,103,0.02912621359223301,13.912621359223301
2026-07-16,https://theinvisiblecharacter.live/,3,155,0.01935483870967742,11.729032258064516
2026-06-29,https://theinvisiblecharacter.live/,2,53,0.03773584905660377,13.018867924528301
2026-06-30,https://theinvisiblecharacter.live/,2,63,0.031746031746031744,13.222222222222221
2026-07-02,https://theinvisiblecharacter.live/,2,103,0.019417475728155338,9.54368932038835
2026-07-02,https://theinvisiblecharacter.live/index-fr,2,32,0.0625,9.4375
2026-07-03,https://theinvisiblecharacter.live/,2,88,0.022727272727272728,10.590909090909092
2026-07-04,https://theinvisiblecharacter.live/,2,92,0.021739130434782608,10.619565217391305
2026-07-15,https://theinvisiblecharacter.live/,2,122,0.01639344262295082,14.950819672131148
2026-06-28,https://theinvisiblecharacter.live/index-fr,1,5,0.2,8.6
2026-06-30,https://theinvisiblecharacter.live/index-fr,1,12,0.08333333333333333,7.833333333333333
2026-07-06,https://theinvisiblecharacter.live/,1,58,0.017241379310344827,10.879310344827585
2026-07-06,https://theinvisiblecharacter.live/tiktok-invisible-username-generator,1,17,0.058823529411764705,24.176470588235293
2026-07-07,https://theinvisiblecharacter.live/blog/whatsapp-invisible-messages,1,8,0.125,28.375
2026-07-07,https://theinvisiblecharacter.live/index-fr,1,14,0.07142857142857142,7.857142857142857
2026-07-09,https://theinvisiblecharacter.live/,1,56,0.017857142857142856,10.553571428571429
2026-07-11,https://theinvisiblecharacter.live/index-fr,1,27,0.037037037037037035,7.296296296296297
2026-07-12,https://theinvisiblecharacter.live/,1,68,0.014705882352941176,14.970588235294118
2026-07-13,https://theinvisiblecharacter.live/index-fr,1,55,0.01818181818181818,8.945454545454545
2026-07-14,https://theinvisiblecharacter.live/index-fr,1,52,0.019230769230769232,9.23076923076923
2026-07-15,https://theinvisiblecharacter.live/index-fr,1,59,0.01694915254237288,9.88135593220339
2026-07-16,https://theinvisiblecharacter.live/tiktok-invisible-username-generator,1,12,0.08333333333333333,16.833333333333336
2026-07-17,https://theinvisiblecharacter.live/,1,79,0.012658227848101266,12
2026-07-17,https://theinvisiblecharacter.live/fr/caractere-invisible-tiktok,1,4,0.25,6.5
2026-07-17,https://theinvisiblecharacter.live/index-fr,1,26,0.038461538461538464,10.153846153846153
2026-06-28,https://theinvisiblecharacter.live/,0,37,0,14.81081081081081
2026-06-28,https://theinvisiblecharacter.live/#faq,0,1,0,7
2026-06-28,https://theinvisiblecharacter.live/#features,0,1,0,7
2026-06-28,https://theinvisiblecharacter.live/#how,0,1,0,7
2026-06-28,https://theinvisiblecharacter.live/#tools,0,1,0,7
2026-06-28,https://theinvisiblecharacter.live/#what,0,1,0,7
2026-06-28,https://theinvisiblecharacter.live/#why,0,1,0,7
2026-06-28,https://theinvisiblecharacter.live/about.html,0,1,0,7
2026-06-29,https://theinvisiblecharacter.live/#faq,0,1,0,8
2026-06-29,https://theinvisiblecharacter.live/#features,0,1,0,8
2026-06-29,https://theinvisiblecharacter.live/#how,0,2,0,8
2026-06-29,https://theinvisiblecharacter.live/#tools,0,2,0,8
2026-06-29,https://theinvisiblecharacter.live/#what,0,2,0,8
2026-06-29,https://theinvisiblecharacter.live/#why,0,2,0,8
2026-06-29,https://theinvisiblecharacter.live/about.html,0,1,0,8
2026-06-29,https://theinvisiblecharacter.live/blog/whatsapp-invisible-messages,0,3,0,39
2026-06-29,https://theinvisiblecharacter.live/index-fr,0,3,0,7.666666666666667
2026-06-30,https://theinvisiblecharacter.live/blog/whatsapp-invisible-messages,0,6,0,42.666666666666664
